seq_index,condition,status,n_failed_attempts,failed_participants,exclusion_reasons,sequence
16,sorted-pixel,excluded,1,660db7a0e45001b3e976309e,not_completed,spix_SO_SC_3;spix_SO_GA_4;spix_SO_FL_2;spix_MW_ND_4;spix_MW_MI_1;spix_WE_HI_4;spix_NE_CT_3;spix_NE_MA_1;spix_WE_UT_1;spix_SO_TN_1;spix_WE_AZ_4;spix_WE_MT_2;spix_MW_OH_3;spix_WE_NV_3;spix_NE_ME_4;spix_NE_NH_2;spix_MW_MN_2
17,sorted-pixel,excluded,1,5953d01e4d560700016462da,missing_prolific_id,spix_WE_NV_2;spix_MW_WI_1;spix_SO_SC_1;spix_MW_MO_2;spix_MW_SD_4;spix_WE_WY_3;spix_WE_MT_4;spix_NE_RI_4;spix_NE_NJ_3;spix_NE_ME_1;spix_SO_OK_3;spix_SO_MS_2;spix_MW_IL_3;spix_WE_HI_4;spix_NE_MA_2;spix_SO_TX_4;spix_WE_ID_1
18,svsup,excluded,1,52f3fee1-31e3-4458-8284-77b8fa2de623,missing_prolific_id,svs_SO_SC_3;svs_NE_MA_2;svs_MW_SD_4;svs_MW_MO_2;svs_MW_IL_3;svs_SO_GA_4;svs_WE_NM_4;svs_SO_TN_1;svs_NE_RI_4;svs_WE_HI_4;svs_SO_FL_2;svs_WE_WA_2;svs_NE_NJ_3;svs_WE_ID_3;svs_WE_AZ_1;svs_MW_WI_1;svs_NE_ME_1
19,animated-pixel,excluded,2,66e46bfe1f78048b57ab10ba;69eb73b31b2054347dfb46f2,not_completed,anim_MW_MO_4;anim_NE_VT_4;anim_WE_WY_4;anim_MW_ND_2;anim_SO_VA_2;anim_WE_HI_4;anim_SO_FL_1;anim_NE_RI_2;anim_NE_NH_3;anim_SO_TN_3;anim_WE_OR_1;anim_WE_CO_2;anim_NE_NY_1;anim_MW_MN_3;anim_WE_NM_3;anim_MW_NE_1;anim_SO_LA_4
20,threshold-pixel,excluded,2,474f439d-3409-4ba4-af12-1b34b63b21e9;62f70dd38becd2f7f2ce53a8,missing_prolific_id,tpix_MW_WI_1;tpix_WE_ID_4;tpix_WE_HI_4;tpix_NE_VT_3;tpix_SO_GA_1;tpix_MW_MO_2;tpix_MW_SD_4;tpix_NE_RI_1;tpix_NE_MA_4;tpix_SO_WV_2;tpix_MW_IL_3;tpix_WE_OR_2;tpix_SO_AR_3;tpix_WE_MT_3;tpix_NE_CT_2;tpix_WE_CA_1;tpix_SO_NC_4
21,pixel,excluded,1,6a120b9b930d06ce3c1989c5,not_completed,pix_SO_TX_3;pix_WE_NV_2;pix_SO_TN_4;pix_NE_RI_1;pix_MW_WI_3;pix_SO_AR_2;pix_NE_VT_3;pix_NE_CT_2;pix_WE_MT_4;pix_NE_MA_4;pix_WE_WY_3;pix_MW_NE_2;pix_WE_HI_4;pix_SO_AL_1;pix_MW_MN_4;pix_WE_ID_1;pix_MW_SD_1
22,sorted-pixel,excluded,1,6966e05fce7c9a3a76291b13,not_completed,spix_WE_MT_1;spix_WE_CO_4;spix_SO_MD_3;spix_NE_NJ_2;spix_SO_MS_4;spix_NE_PA_3;spix_WE_HI_4;spix_MW_MN_4;spix_WE_CA_3;spix_WE_NM_2;spix_SO_TX_1;spix_MW_NE_2;spix_NE_CT_4;spix_SO_GA_2;spix_MW_WI_3;spix_NE_NH_1;spix_MW_SD_1
23,pixel,excluded,1,5f78a6bc-2c92-4946-9850-176beeca240b,missing_prolific_id,pix_NE_NJ_3;pix_NE_MA_2;pix_WE_WA_3;pix_NE_ME_1;pix_MW_ND_3;pix_SO_SC_1;pix_WE_CO_1;pix_SO_OK_3;pix_WE_UT_4;pix_WE_ID_2;pix_WE_HI_4;pix_MW_OH_1;pix_SO_MS_2;pix_MW_IL_4;pix_NE_RI_4;pix_MW_WI_2;pix_SO_TX_4
24,threshold-pixel-sorted,excluded,1,6691bc059b0182b0bdd7d682,not_completed,tpxs_SO_TN_3;tpxs_NE_VT_1;tpxs_NE_NJ_4;tpxs_WE_HI_4;tpxs_WE_WA_1;tpxs_MW_MO_4;tpxs_NE_NY_3;tpxs_MW_ND_2;tpxs_WE_WY_2;tpxs_WE_CA_4;tpxs_SO_LA_4;tpxs_WE_AZ_3;tpxs_SO_FL_1;tpxs_MW_NE_1;tpxs_SO_VA_2;tpxs_NE_ME_2;tpxs_MW_MN_3
27,svsup,excluded,1,6a19bb8aa2451d70e1f2511f,missing_prolific_id,svs_SO_NC_2;svs_NE_NJ_3;svs_WE_OR_3;svs_WE_HI_4;svs_NE_ME_1;svs_MW_IN_1;svs_NE_RI_4;svs_SO_SC_4;svs_WE_WA_4;svs_NE_MA_2;svs_MW_OH_4;svs_MW_KS_2;svs_WE_NM_1;svs_MW_SD_3;svs_SO_KY_3;svs_SO_VA_1;svs_WE_UT_2
28,animated-pixel,excluded,1,697c38a45ad4a3dcff5053ca,not_completed,anim_WE_HI_4;anim_MW_SD_4;anim_WE_WY_1;anim_SO_AR_4;anim_WE_AZ_2;anim_SO_LA_1;anim_MW_WI_1;anim_MW_MO_2;anim_NE_NH_3;anim_MW_IL_3;anim_SO_OK_2;anim_SO_MS_3;anim_NE_RI_2;anim_NE_NY_1;anim_WE_CO_3;anim_NE_VT_4;anim_WE_NV_4
29,threshold-pixel-sorted,excluded,1,cd8fcf49-7b6c-48c1-807f-54f232d31ae5,missing_prolific_id,tpxs_WE_HI_4;tpxs_MW_ND_2;tpxs_SO_WV_2;tpxs_MW_MN_3;tpxs_WE_ID_1;tpxs_SO_NC_4;tpxs_NE_VT_3;tpxs_SO_GA_1;tpxs_WE_WY_3;tpxs_MW_MO_4;tpxs_WE_NV_2;tpxs_NE_RI_1;tpxs_NE_MA_4;tpxs_NE_CT_2;tpxs_SO_AR_3;tpxs_WE_MT_4;tpxs_MW_NE_1
31,animated-pixel,excluded,2,671e55aeca0216c5762de35a;6a273200937a6131a4444bb7,not_completed,anim_MW_IL_1;anim_SO_AL_4;anim_NE_RI_2;anim_WE_HI_4;anim_SO_NC_1;anim_NE_NH_3;anim_MW_MI_3;anim_WE_WA_4;anim_NE_NY_1;anim_SO_LA_2;anim_WE_NM_1;anim_NE_VT_4;anim_WE_OR_3;anim_MW_IN_2;anim_WE_UT_2;anim_MW_NE_4;anim_SO_GA_3
32,animated-pixel,excluded,1,5e07a0898dffa00ff1aaf60f,not_completed,anim_SO_MS_2;anim_NE_RI_4;anim_SO_SC_1;anim_MW_MO_3;anim_MW_KS_1;anim_MW_MI_4;anim_WE_CA_4;anim_WE_WA_1;anim_WE_WY_2;anim_NE_ME_1;anim_SO_OK_3;anim_MW_OH_2;anim_WE_AZ_3;anim_WE_HI_4;anim_NE_MA_2;anim_NE_NJ_3;anim_SO_TX_4
34,animated-pixel,excluded,2,60de6e510a35511890793ba4;69ed15278090fe4438301d5c,not_completed,anim_SO_SC_3;anim_WE_MT_1;anim_MW_ND_4;anim_SO_FL_2;anim_MW_MN_2;anim_WE_CO_4;anim_NE_MA_4;anim_SO_TN_1;anim_WE_HI_4;anim_NE_VT_3;anim_NE_RI_1;anim_MW_OH_3;anim_WE_CA_3;anim_SO_GA_4;anim_WE_NM_2;anim_NE_CT_2;anim_MW_MI_1
38,animated-pixel,excluded,2,698ce10e5bdc0e27e6078608;6a0267dd4fe515c8be06fad3,missing_prolific_id;not_completed,anim_WE_WY_3;anim_MW_WI_2;anim_NE_NJ_1;anim_SO_VA_4;anim_MW_ND_3;anim_NE_PA_4;anim_WE_NV_2;anim_WE_HI_4;anim_NE_NY_2;anim_SO_OK_1;anim_NE_MA_3;anim_SO_FL_3;anim_SO_AL_2;anim_MW_IL_4;anim_WE_ID_1;anim_MW_OH_1;anim_WE_MT_4
47,animated-pixel,excluded,2,64048e346a45d078131b49df;69fe22a1c8c341db9c556f11,missing_prolific_id;not_completed,anim_NE_NJ_4;anim_WE_HI_4;anim_MW_SD_4;anim_WE_NV_3;anim_NE_VT_1;anim_NE_NY_3;anim_SO_AL_1;anim_WE_UT_1;anim_WE_AZ_4;anim_SO_AR_2;anim_SO_TN_4;anim_NE_ME_2;anim_WE_MT_2;anim_MW_MO_2;anim_SO_TX_3;anim_MW_IL_3;anim_MW_WI_1
